Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,DateTime_Intake_month,DateTime_Intake_year,DateTime_Outcome_month,DateTime_Outcome_year,Date of Birth_month,Date of Birth_year,Day_in_shelter,Reproduction_ability,health_Situation
A746441,Travis,Owner Surrender,Normal,Cat,Spayed Female,2192.0,Domestic Shorthair Mix,Calico,Spayed Female,2255.0,Alive,4,2017,6,2017,4,2011,63.0,No,Healthy
A702659,Travis,Stray,Normal,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Black,Spayed Female,420.0,Death,5,2015,7,2015,5,2014,55.0,No,Healthy
A761830,Austin,Owner Surrender,Normal,Cat,Intact Female,31.0,Domestic Shorthair Mix,Blue,Spayed Female,102.0,Alive,11,2017,1,2018,10,2017,71.0,No,Healthy
A797477,Austin,Stray,Normal,Cat,Intact Female,39.0,Domestic Shorthair,Mix color,Spayed Female,104.0,Alive,6,2019,8,2019,5,2019,65.0,No,Healthy
A769036,Valle,Stray,Normal,Dog,Spayed Female,365.0,Labrador Retriever Mix,Mix color,Spayed Female,367.0,Alive,3,2018,3,2018,3,2017,2.0,No,Healthy
A742443,Austin,Owner Surrender,Normal,Cat,Neutered Male,129.0,Domestic Medium Hair Mix,Mix color,Neutered Male,130.0,Alive,1,2017,1,2017,9,2016,1.0,No,Healthy
A668241,Austin,Stray,Normal,Dog,Intact Male,731.0,Other,Black,Intact Male,735.0,Alive,11,2013,12,2013,11,2011,4.0,Yes,Healthy
A697174,Austin,Owner Surrender,Normal,Dog,Spayed Female,70.0,Other,Mix color,Spayed Female,71.0,Alive,2,2015,2,2015,12,2014,1.0,No,Healthy
A670185,Austin,Stray,Normal,Dog,Neutered Male,1096.0,German Shepherd Mix,Other,Neutered Male,1105.0,Alive,1,2014,1,2014,1,2011,9.0,No,Healthy
A687865,Austin,Stray,Normal,Dog,Neutered Male,911.0,Other,Mix color,Neutered Male,912.0,Alive,8,2019,8,2019,2,2017,1.0,No,Healthy
A784334,Austin,Stray,Normal,Cat,Intact Female,67.0,Domestic Shorthair Mix,Tabby,Spayed Female,107.0,Alive,11,2018,12,2018,9,2018,40.0,No,Healthy
A788692,Austin,Stray,Injured,Dog,Neutered Male,730.0,Other,Brown,Neutered Male,735.0,Alive,2,2019,2,2019,2,2017,5.0,No,Unhealthy
A724751,Austin,Stray,Normal,Cat,Intact Male,15.0,Domestic Shorthair Mix,Mix color,Neutered Male,94.0,Alive,4,2016,7,2016,4,2016,79.0,No,Healthy
A708986,Austin,Stray,Normal,Cat,Intact Female,243.0,Domestic Shorthair Mix,Tabby,Intact Female,249.0,Alive,8,2015,8,2015,12,2014,6.0,Yes,Healthy
A745028,Austin,Stray,Normal,Dog,Intact Female,1461.0,Other,Cream,Intact Female,1468.0,Death,3,2017,3,2017,3,2013,7.0,Yes,Healthy
A777611,Travis,Stray,Normal,Dog,Spayed Female,365.0,Labrador Retriever Mix,Tricolor,Spayed Female,369.0,Alive,7,2018,8,2018,7,2017,4.0,No,Healthy
A693202,Austin,Stray,Normal,Dog,Intact Male,365.0,Other,Mix color,Neutered Male,382.0,Alive,12,2014,12,2014,12,2013,17.0,No,Healthy
A737374,Austin,Public Assist,Normal,Dog,Intact Male,3573.5499999999965,Other,Brown,Intact Male,3575.6999999999966,Alive,11,2019,12,2019,7,2003,2.150000000000091,Yes,Healthy
A640749,Austin,Stray,Sick,Cat,Neutered Male,3573.5499999999965,Siamese Mix,Point,Neutered Male,3575.6999999999966,Alive,1,2017,1,2017,10,2006,2.150000000000091,No,Unhealthy
A765654,Austin,Stray,Normal,Dog,Neutered Male,731.0,Other,Mix color,Neutered Male,731.0,Alive,1,2018,1,2018,1,2016,0.0,No,Healthy
A788432,Manor,Stray,Normal,Dog,Intact Female,46.0,Other,Mix color,Spayed Female,58.0,Alive,2,2019,2,2019,12,2018,12.0,No,Healthy
A771076,Austin,Stray,Normal,Dog,Intact Female,365.0,Labrador Retriever Mix,White,Spayed Female,372.0,Alive,4,2018,5,2018,4,2017,7.0,No,Healthy
A741684,Austin,Public Assist,Normal,Dog,Neutered Male,1963.0,Labrador Retriever Mix,Black,Neutered Male,1970.0,Alive,1,2017,1,2017,8,2011,7.0,No,Healthy
A730925,Valle,Stray,Normal,Cat,Intact Female,366.0,Domestic Shorthair Mix,Mix color,Intact Female,374.0,Alive,7,2016,7,2016,7,2015,8.0,Yes,Healthy
A800780,Austin,Stray,Normal,Dog,Intact Female,48.0,Labrador Retriever Mix,Mix color,Spayed Female,58.0,Alive,7,2019,8,2019,6,2019,10.0,No,Healthy
A713630,Austin,Stray,Normal,Cat,Intact Male,37.0,Domestic Shorthair Mix,Tabby,Neutered Male,70.0,Alive,10,2015,11,2015,9,2015,33.0,No,Healthy
A803766,Austin,Stray,Normal,Dog,Intact Female,62.0,Other,Mix color,Intact Female,69.0,Alive,9,2019,9,2019,7,2019,7.0,Yes,Healthy
A678380,Austin,Stray,Normal,Cat,Intact Female,47.0,Domestic Shorthair Mix,Tortie,Intact Female,52.0,Alive,5,2014,5,2014,3,2014,5.0,Yes,Healthy
A747980,Austin,Owner Surrender,Normal,Dog,Spayed Female,2205.0,Other,Mix color,Spayed Female,2210.0,Alive,5,2017,5,2017,4,2011,5.0,No,Healthy
A712064,Austin,Stray,Normal,Cat,Unknown,184.0,Domestic Shorthair Mix,Black,Unknown,185.0,Alive,9,2015,9,2015,3,2015,1.0,Unknown,Healthy
A773023,Valle,Stray,Normal,Cat,Intact Female,22.0,Domestic Shorthair Mix,Tabby,Intact Female,22.0,Alive,5,2018,5,2018,5,2018,0.0,Yes,Healthy
A760560,Austin,Stray,Normal,Cat,Intact Male,45.0,Domestic Medium Hair Mix,Mix color,Neutered Male,68.0,Alive,10,2017,11,2017,9,2017,23.0,No,Healthy
A676759,Austin,Stray,Normal,Cat,Intact Female,22.0,Domestic Shorthair Mix,Mix color,Intact Female,22.0,Alive,4,2014,4,2014,3,2014,0.0,Yes,Healthy
A758616,Austin,Stray,Normal,Cat,Intact Male,7.0,Domestic Shorthair Mix,Tabby,Intact Male,7.0,Alive,9,2017,9,2017,9,2017,0.0,Yes,Healthy
A681001,Austin,Stray,Sick,Cat,Intact Female,3573.5499999999965,Domestic Shorthair Mix,Mix color,Intact Female,3575.6999999999966,Death,6,2014,6,2014,6,2004,2.150000000000091,Yes,Unhealthy
A501071,Austin,Public Assist,Normal,Cat,Neutered Male,2873.0,Other,Tabby,Neutered Male,2898.0,Alive,3,2015,4,2015,4,2007,25.0,No,Healthy
A791392,Austin,Public Assist,Normal,Dog,Neutered Male,3289.0,Other,Mix color,Neutered Male,3290.0,Alive,3,2019,3,2019,3,2010,1.0,No,Healthy
A744714,Austin,Stray,Normal,Dog,Intact Male,212.0,Other,Mix color,Neutered Male,219.0,Alive,3,2017,3,2017,8,2016,7.0,No,Healthy
A756987,Austin,Stray,Normal,Cat,Intact Female,61.0,Domestic Shorthair Mix,Black,Intact Female,65.0,Alive,8,2017,9,2017,6,2017,4.0,Yes,Healthy
A738580,Austin,Stray,Injured,Cat,Intact Male,366.0,Domestic Shorthair Mix,Black,Neutered Male,438.0,Alive,11,2016,1,2017,11,2015,72.0,No,Unhealthy
