Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,DateTime_Intake_month,DateTime_Intake_year,DateTime_Outcome_month,DateTime_Outcome_year,Date of Birth_month,Date of Birth_year,Day_in_shelter,Reproduction_ability,health_Situation
A758639,Austin,Stray,Normal,Dog,Intact Male,304.0,Other,Mix color,Neutered Male,312.0,Alive,9,2017,9,2017,11,2016,8.0,No,Healthy
A743525,Austin,Stray,Normal,Dog,Intact Female,366.0,Other,Mix color,Spayed Female,373.0,Alive,2,2017,2,2017,2,2016,7.0,No,Healthy
A803437,Austin,Stray,Normal,Dog,Neutered Male,1826.0,Chihuahua Shorthair Mix,Tan,Neutered Male,1835.0,Alive,9,2019,9,2019,9,2014,9.0,No,Healthy
A749689,Travis,Stray,Normal,Dog,Neutered Male,365.0,German Shepherd Mix,Cream,Neutered Male,375.0,Alive,5,2017,5,2017,5,2016,10.0,No,Healthy
A785024,Austin,Stray,Normal,Dog,Intact Female,365.0,Other,Tricolor,Spayed Female,452.0,Alive,11,2018,2,2019,11,2017,87.0,No,Healthy
A797631,Austin,Stray,Normal,Dog,Intact Female,730.0,Other,Mix color,Spayed Female,769.0,Alive,6,2019,7,2019,6,2017,39.0,No,Healthy
A765736,Austin,Owner Surrender,Normal,Dog,Intact Male,334.0,Chihuahua Shorthair Mix,Mix color,Neutered Male,337.0,Alive,1,2018,1,2018,2,2017,3.0,No,Healthy
A713635,Austin,Public Assist,Normal,Dog,Spayed Female,1095.0,Other,Brown,Spayed Female,1099.0,Alive,10,2015,10,2015,10,2012,4.0,No,Healthy
A704360,Austin,Stray,Normal,Cat,Intact Female,61.0,Domestic Shorthair Mix,Tabby,Spayed Female,85.0,Alive,6,2015,6,2015,4,2015,24.0,No,Healthy
A747387,Austin,Owner Surrender,Normal,Dog,Intact Male,548.0,Other,Mix color,Neutered Male,555.0,Alive,4,2017,4,2017,10,2015,7.0,No,Healthy
A798224,Austin,Stray,Normal,Cat,Intact Male,53.0,Domestic Shorthair Mix,Mix color,Neutered Male,61.0,Alive,6,2019,7,2019,5,2019,8.0,No,Healthy
A686406,Austin,Stray,Injured,Dog,Intact Male,365.0,Other,Mix color,Neutered Male,369.0,Alive,8,2014,8,2014,8,2013,4.0,No,Unhealthy
A677792,Austin,Owner Surrender,Nursing,Cat,Intact Female,7.0,Domestic Shorthair Mix,Mix color,Intact Female,7.0,Death,4,2014,4,2014,4,2014,0.0,Yes,Healthy
A732541,Austin,Stray,Normal,Dog,Intact Female,244.0,Other,Tan,Spayed Female,364.0,Alive,8,2016,12,2016,12,2015,120.0,No,Healthy
A684102,Austin,Stray,Normal,Cat,Intact Male,30.0,Domestic Shorthair Mix,Mix color,Intact Male,30.0,Alive,7,2014,7,2014,6,2014,0.0,Yes,Healthy
A710332,Austin,Stray,Normal,Cat,Intact Female,46.0,Domestic Shorthair Mix,Tabby,Intact Female,75.0,Alive,8,2015,9,2015,7,2015,29.0,Yes,Healthy
A730385,Austin,Stray,Normal,Dog,Intact Female,366.0,Pit Bull Mix,Mix color,Spayed Female,373.0,Alive,7,2016,7,2016,7,2015,7.0,No,Healthy
A700114,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,1151.0,Other,Mix color,Spayed Female,1163.0,Alive,12,2016,12,2016,10,2013,12.0,No,Healthy
A797429,Austin,Owner Surrender,Normal,Cat,Neutered Male,95.0,Domestic Shorthair,Tabby,Neutered Male,109.0,Alive,8,2019,8,2019,4,2019,14.0,No,Healthy
A808995,Austin,Stray,Normal,Cat,Intact Female,88.0,Domestic Shorthair,Calico,Intact Female,102.0,Alive,11,2019,12,2019,8,2019,14.0,Yes,Healthy
A764761,Austin,Stray,Normal,Dog,Spayed Female,731.0,Other,Cream,Spayed Female,735.0,Alive,1,2018,1,2018,1,2016,4.0,No,Healthy
A681559,Austin,Stray,Normal,Cat,Intact Female,72.0,Domestic Shorthair Mix,Mix color,Spayed Female,88.0,Alive,6,2014,7,2014,4,2014,16.0,No,Healthy
A668347,Leander,Stray,Normal,Dog,Intact Male,48.0,Other,Mix color,Intact Male,49.0,Alive,12,2013,12,2013,10,2013,1.0,Yes,Healthy
A806156,Austin,Stray,Normal,Dog,Spayed Female,2829.0,Other,Mix color,Spayed Female,2831.0,Alive,10,2019,10,2019,1,2012,2.0,No,Healthy
A642394,Austin,Owner Surrender,Normal,Cat,Neutered Male,1319.0,Domestic Shorthair Mix,Tabby,Neutered Male,1332.0,Alive,5,2016,5,2016,9,2012,13.0,No,Healthy
A682473,Austin,Stray,Normal,Cat,Intact Female,304.0,Domestic Shorthair Mix,Mix color,Spayed Female,308.0,Alive,6,2014,7,2014,8,2013,4.0,No,Healthy
A765515,Austin,Stray,Injured,Cat,Spayed Female,731.0,Domestic Shorthair Mix,Mix color,Spayed Female,755.0,Alive,1,2018,2,2018,1,2016,24.0,No,Unhealthy
A686861,Austin,Stray,Sick,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Tabby,Spayed Female,730.0,Death,8,2014,8,2014,8,2012,0.0,No,Unhealthy
A684475,Austin,Stray,Normal,Cat,Spayed Female,3340.0,Domestic Shorthair Mix,Mix color,Spayed Female,3352.0,Alive,7,2014,8,2014,6,2005,12.0,No,Healthy
A810964,Austin,Wildlife,Normal,Other,Unknown,365.0,Other,Brown,Unknown,365.0,Death,12,2019,12,2019,12,2018,0.0,Unknown,Healthy
A782653,Austin,Public Assist,Sick,Bird,Unknown,730.0,Other,White,Unknown,730.0,Death,10,2018,10,2018,10,2016,0.0,Unknown,Unhealthy
A744201,Austin,Owner Surrender,Normal,Dog,Neutered Male,314.0,German Shepherd Mix,Mix color,Neutered Male,319.0,Alive,11,2017,11,2017,12,2016,5.0,No,Healthy
A674305,Austin,Stray,Normal,Dog,Neutered Male,1587.0,Other,Mix color,Neutered Male,1597.0,Alive,7,2014,7,2014,3,2010,10.0,No,Healthy
A798878,Austin,Stray,Normal,Cat,Unknown,730.0,Domestic Shorthair,Black,Unknown,734.0,Alive,7,2019,7,2019,7,2017,4.0,Unknown,Healthy
A791457,Austin,Stray,Normal,Cat,Intact Male,0.0,Domestic Shorthair Mix,Mix color,Neutered Male,85.0,Alive,3,2019,6,2019,3,2019,85.0,No,Healthy
A800418,Austin,Stray,Normal,Dog,Intact Male,730.0,Other,Mix color,Neutered Male,734.0,Alive,7,2019,7,2019,7,2017,4.0,No,Healthy
A772083,Austin,Stray,Normal,Cat,Intact Male,27.0,Domestic Shorthair Mix,Tabby,Neutered Male,74.0,Alive,5,2018,6,2018,4,2018,47.0,No,Healthy
A767399,Outside Jurisdiction,Owner Surrender,Normal,Cat,Spayed Female,1096.0,Domestic Shorthair Mix,Black,Spayed Female,1113.0,Alive,2,2018,3,2018,2,2015,17.0,No,Healthy
A785881,Travis,Public Assist,Normal,Dog,Neutered Male,2191.0,Other,Mix color,Neutered Male,2192.0,Alive,12,2018,12,2018,12,2012,1.0,No,Healthy
A665608,Austin,Stray,Normal,Cat,Intact Female,22.0,Domestic Shorthair Mix,Tabby,Intact Female,22.0,Alive,10,2013,10,2013,9,2013,0.0,Yes,Healthy
A693460,Austin,Stray,Normal,Dog,Intact Male,730.0,Other,Cream,Neutered Male,731.0,Alive,12,2014,12,2014,12,2012,1.0,No,Healthy
A805214,Austin,Stray,Normal,Cat,Unknown,365.0,Domestic Shorthair,Tabby,Unknown,369.0,Alive,9,2019,9,2019,9,2018,4.0,Unknown,Healthy
A729357,Austin,Public Assist,Normal,Cat,Spayed Female,2922.0,Domestic Shorthair Mix,Tabby,Spayed Female,2944.0,Alive,6,2016,7,2016,6,2008,22.0,No,Healthy
A687474,Travis,Stray,Sick,Dog,Intact Female,34.0,Pit Bull Mix,Black,Intact Female,36.0,Alive,9,2014,9,2014,8,2014,2.0,Yes,Unhealthy
A690944,Austin,Stray,Normal,Dog,Spayed Female,365.0,Pit Bull Mix,Mix color,Spayed Female,366.0,Alive,10,2014,10,2014,10,2013,1.0,No,Healthy
A684061,Austin,Stray,Normal,Dog,Spayed Female,783.0,Other,Tricolor,Spayed Female,784.0,Alive,9,2014,9,2014,7,2012,1.0,No,Healthy
A755767,Austin,Owner Surrender,Normal,Cat,Spayed Female,3573.5499999999965,Other,Black,Spayed Female,3575.6999999999966,Alive,8,2017,8,2017,8,2006,2.150000000000091,No,Healthy
A682172,Austin,Owner Surrender,Normal,Cat,Intact Female,92.0,Domestic Shorthair Mix,Tabby,Spayed Female,94.0,Alive,6,2014,6,2014,3,2014,2.0,No,Healthy
A752668,Austin,Owner Surrender,Normal,Dog,Spayed Female,731.0,Labrador Retriever Mix,Black,Spayed Female,734.0,Alive,6,2017,6,2017,6,2015,3.0,No,Healthy
A669659,Austin,Stray,Normal,Dog,Intact Male,1461.0,Pit Bull Mix,Mix color,Intact Male,1463.0,Alive,12,2013,12,2013,12,2009,2.0,Yes,Healthy
A687852,Austin,Public Assist,Normal,Cat,Neutered Male,184.0,Domestic Shorthair Mix,Blue,Neutered Male,185.0,Alive,9,2014,9,2014,3,2014,1.0,No,Healthy
A710541,Austin,Stray,Normal,Cat,Intact Male,10.0,Domestic Shorthair Mix,Mix color,Neutered Male,64.0,Alive,8,2015,10,2015,8,2015,54.0,No,Healthy
A760484,Austin,Stray,Normal,Cat,Intact Male,38.0,Domestic Shorthair Mix,Black,Neutered Male,76.0,Alive,10,2017,11,2017,9,2017,38.0,No,Healthy
A740772,Austin,Owner Surrender,Normal,Cat,Neutered Male,1827.0,Domestic Shorthair Mix,Mix color,Neutered Male,1864.0,Alive,12,2016,1,2017,12,2011,37.0,No,Healthy
A799131,Austin,Stray,Normal,Dog,Intact Male,45.0,Labrador Retriever Mix,Tricolor,Neutered Male,71.0,Alive,7,2019,7,2019,5,2019,26.0,No,Healthy
A807051,Austin,Stray,Normal,Dog,Intact Male,1095.0,Other,Mix color,Intact Male,1095.0,Alive,10,2019,10,2019,10,2016,0.0,Yes,Healthy
A672886,Austin,Stray,Normal,Dog,Intact Male,731.0,Chihuahua Shorthair Mix,Black,Neutered Male,739.0,Alive,2,2014,2,2014,2,2012,8.0,No,Healthy
A711134,Valle,Stray,Normal,Dog,Intact Male,730.0,Other,Brown,Neutered Male,731.0,Alive,9,2015,9,2015,9,2013,1.0,No,Healthy
A671411,Austin,Stray,Normal,Cat,Spayed Female,3573.5499999999965,Domestic Shorthair Mix,Calico,Spayed Female,3575.6999999999966,Alive,1,2014,3,2014,1,1998,2.150000000000091,No,Healthy
A691239,Austin,Stray,Normal,Dog,Intact Male,304.0,Other,Black,Neutered Male,308.0,Alive,11,2014,11,2014,1,2014,4.0,No,Healthy
A764748,Austin,Stray,Normal,Cat,Intact Male,46.0,Other,Mix color,Neutered Male,77.0,Alive,1,2018,2,2018,11,2017,31.0,No,Healthy
A713216,Austin,Owner Surrender,Normal,Cat,Neutered Male,1328.0,Domestic Shorthair Mix,Mix color,Neutered Male,1411.0,Alive,10,2015,12,2015,2,2012,83.0,No,Healthy
A769757,Austin,Stray,Normal,Dog,Intact Female,365.0,Other,Mix color,Intact Female,368.0,Alive,4,2018,4,2018,4,2017,3.0,Yes,Healthy
A810207,Austin,Stray,Nursing,Dog,Intact Male,9.0,Pit Bull Mix,Brindle,Intact Male,33.0,Alive,12,2019,1,2020,11,2019,24.0,Yes,Healthy
A674511,Austin,Owner Surrender,Normal,Dog,Spayed Female,777.0,Other,Mix color,Spayed Female,786.0,Death,4,2014,5,2014,3,2012,9.0,No,Healthy
A788493,Austin,Stray,Normal,Dog,Neutered Male,306.0,Other,Cream,Neutered Male,310.0,Alive,2,2019,2,2019,4,2018,4.0,No,Healthy
A766675,Austin,Owner Surrender,Normal,Cat,Neutered Male,3573.5499999999965,Domestic Shorthair Mix,Mix color,Neutered Male,3575.6999999999966,Alive,2,2018,2,2018,2,2007,2.150000000000091,No,Healthy
A706141,Austin,Stray,Normal,Cat,Intact Female,31.0,Domestic Shorthair Mix,Mix color,Intact Female,31.0,Alive,6,2015,6,2015,5,2015,0.0,Yes,Healthy
A756668,Austin,Stray,Normal,Cat,Intact Female,122.0,Domestic Shorthair Mix,Tortie,Intact Female,126.0,Alive,8,2017,8,2017,4,2017,4.0,Yes,Healthy
A693641,Austin,Stray,Normal,Dog,Intact Male,730.0,Chihuahua Shorthair Mix,Mix color,Neutered Male,734.0,Alive,12,2014,12,2014,12,2012,4.0,No,Healthy
A801970,Austin,Stray,Normal,Cat,Intact Male,16.0,Domestic Shorthair Mix,White,Intact Male,34.0,Alive,8,2019,8,2019,7,2019,18.0,Yes,Healthy
A705928,Austin,Wildlife,Normal,Other,Unknown,31.0,Other,Red,Unknown,32.0,Death,6,2015,6,2015,5,2015,1.0,Unknown,Healthy
A728395,Austin,Owner Surrender,Normal,Dog,Neutered Male,1461.0,Other,Mix color,Neutered Male,1462.0,Alive,6,2016,6,2016,6,2012,1.0,No,Healthy
A711110,Austin,Stray,Nursing,Cat,Intact Female,22.0,Domestic Shorthair Mix,Torbie,Spayed Female,72.0,Alive,9,2015,10,2015,8,2015,50.0,No,Healthy
A793725,Austin,Stray,Nursing,Cat,Intact Male,7.0,Domestic Shorthair Mix,Tabby,Intact Male,7.0,Alive,4,2019,4,2019,4,2019,0.0,Yes,Healthy
A726540,Austin,Stray,Normal,Dog,Intact Male,0.0,Other,Brindle,Neutered Male,59.0,Alive,5,2016,7,2016,5,2016,59.0,No,Healthy
A732674,Austin,Wildlife,Sick,Other,Unknown,731.0,Bat Mix,Brown,Unknown,732.0,Death,8,2016,8,2016,8,2014,1.0,Unknown,Unhealthy
A803415,Austin,Stray,Normal,Dog,Intact Female,365.0,Other,Mix color,Spayed Female,372.0,Alive,8,2019,9,2019,8,2018,7.0,No,Healthy
A748941,Austin,Stray,Normal,Cat,Intact Female,30.0,Other,Tabby,Spayed Female,131.0,Alive,5,2017,8,2017,4,2017,101.0,No,Healthy
A736915,Austin,Stray,Normal,Cat,Spayed Female,731.0,Domestic Medium Hair Mix,Black,Spayed Female,733.0,Alive,10,2016,10,2016,10,2014,2.0,No,Healthy
A808767,Austin,Stray,Normal,Dog,Intact Female,153.0,Other,Mix color,Spayed Female,159.0,Alive,11,2019,11,2019,6,2019,6.0,No,Healthy
A744505,Austin,Wildlife,Normal,Other,Unknown,731.0,Bat Mix,Brown,Unknown,732.0,Death,3,2017,3,2017,3,2015,1.0,Unknown,Healthy
A741444,Austin,Stray,Normal,Dog,Spayed Female,731.0,Other,Tan,Spayed Female,738.0,Alive,1,2017,1,2017,1,2015,7.0,No,Healthy
A677592,Austin,Stray,Normal,Cat,Unknown,7.0,Domestic Shorthair Mix,Tabby,Unknown,7.0,Alive,4,2014,4,2014,4,2014,0.0,Unknown,Healthy
A654191,Austin,Stray,Normal,Dog,Neutered Male,3573.5499999999965,Other,Mix color,Neutered Male,3575.6999999999966,Alive,5,2014,5,2014,5,2004,2.150000000000091,No,Healthy
A664550,Austin,Stray,Nursing,Dog,Intact Male,4.0,Other,Mix color,Neutered Male,60.0,Alive,10,2013,11,2013,10,2013,56.0,No,Healthy
A737140,Austin,Stray,Normal,Dog,Intact Male,45.0,German Shepherd Mix,Mix color,Intact Male,51.0,Alive,10,2016,10,2016,9,2016,6.0,Yes,Healthy
A707041,Austin,Stray,Normal,Cat,Intact Male,61.0,Domestic Shorthair Mix,Mix color,Neutered Male,87.0,Alive,7,2015,8,2015,5,2015,26.0,No,Healthy
A788786,Austin,Stray,Normal,Dog,Intact Male,730.0,Other,Mix color,Neutered Male,734.0,Alive,2,2019,2,2019,2,2017,4.0,No,Healthy
A775903,Austin,Owner Surrender,Normal,Dog,Spayed Female,730.0,Other,Red,Spayed Female,915.0,Alive,7,2018,1,2019,7,2016,185.0,No,Healthy
A670850,Austin,Stray,Normal,Dog,Intact Male,365.0,Other,Mix color,Neutered Male,376.0,Alive,1,2014,1,2014,1,2013,11.0,No,Healthy
A701801,Austin,Stray,Normal,Cat,Neutered Male,1095.0,Domestic Shorthair Mix,Mix color,Neutered Male,1102.0,Alive,5,2015,5,2015,5,2012,7.0,No,Healthy
A801523,Austin,Stray,Nursing,Cat,Intact Male,6.0,Domestic Shorthair,Mix color,Intact Male,6.0,Alive,8,2019,8,2019,7,2019,0.0,Yes,Healthy
A757381,Austin,Public Assist,Normal,Dog,Spayed Female,484.0,Other,Cream,Spayed Female,492.0,Alive,10,2018,10,2018,6,2017,8.0,No,Healthy
A712200,Austin,Stray,Normal,Cat,Intact Male,36.0,Domestic Shorthair Mix,Black,Intact Male,38.0,Alive,9,2015,9,2015,8,2015,2.0,Yes,Healthy
A733048,Austin,Owner Surrender,Normal,Dog,Neutered Male,3573.5499999999965,Other,Mix color,Neutered Male,3575.6999999999966,Alive,9,2016,9,2016,9,2004,2.150000000000091,No,Healthy
A700533,Travis,Stray,Normal,Dog,Intact Male,365.0,Other,Mix color,Neutered Male,368.0,Alive,4,2015,4,2015,4,2014,3.0,No,Healthy
A365172,Austin,Owner Surrender,Normal,Dog,Neutered Male,3573.5499999999965,Labrador Retriever Mix,Mix color,Neutered Male,3575.6999999999966,Alive,8,2014,8,2014,8,2004,2.150000000000091,No,Healthy
A728760,Travis,Stray,Normal,Dog,Intact Female,366.0,German Shepherd Mix,Mix color,Spayed Female,377.0,Alive,6,2016,6,2016,6,2015,11.0,No,Healthy
A663868,Austin,Stray,Normal,Dog,Neutered Male,261.0,Other,Mix color,Neutered Male,1107.0,Alive,2,2016,10,2013,1,2013,846.0,No,Healthy
A796298,Austin,Stray,Normal,Cat,Intact Female,365.0,Domestic Shorthair,Point,Intact Female,368.0,Alive,5,2019,6,2019,5,2018,3.0,Yes,Healthy
A412626,Austin,Owner Surrender,Normal,Dog,Neutered Male,3573.5499999999965,Labrador Retriever Mix,Mix color,Neutered Male,3575.6999999999966,Alive,3,2016,3,2016,11,2003,2.150000000000091,No,Healthy
A723751,Austin,Owner Surrender,Normal,Dog,Spayed Female,257.0,Other,Brindle,Spayed Female,268.0,Alive,6,2016,6,2016,10,2015,11.0,No,Healthy
A696610,Austin,Stray,Normal,Dog,Intact Male,62.0,Labrador Retriever Mix,Mix color,Neutered Male,66.0,Alive,2,2015,2,2015,12,2014,4.0,No,Healthy
A719862,Austin,Stray,Normal,Dog,Intact Female,153.0,Other,Mix color,Spayed Female,157.0,Alive,1,2016,2,2016,8,2015,4.0,No,Healthy
A745621,Austin,Stray,Normal,Cat,Intact Female,151.0,Domestic Shorthair Mix,Black,Spayed Female,155.0,Alive,3,2017,3,2017,10,2016,4.0,No,Healthy
A671318,Austin,Owner Surrender,Normal,Dog,Spayed Female,211.0,Other,Yellow,Spayed Female,214.0,Alive,4,2014,4,2014,9,2013,3.0,No,Healthy
A748965,Austin,Stray,Normal,Cat,Intact Female,24.0,Domestic Shorthair Mix,Mix color,Spayed Female,77.0,Alive,5,2017,7,2017,4,2017,53.0,No,Healthy
A780964,Austin,Owner Surrender,Normal,Dog,Neutered Male,3287.0,Labrador Retriever Mix,Mix color,Neutered Male,3396.0,Alive,9,2018,1,2019,9,2009,109.0,No,Healthy
A697844,Austin,Stray,Normal,Dog,Spayed Female,546.0,German Shepherd Mix,Mix color,Spayed Female,550.0,Alive,3,2015,3,2015,9,2013,4.0,No,Healthy
A775204,Austin,Public Assist,Normal,Dog,Intact Female,1096.0,Other,Mix color,Intact Female,1096.0,Alive,6,2018,6,2018,6,2015,0.0,Yes,Healthy
A756394,Austin,Owner Surrender,Normal,Cat,Neutered Male,2922.0,Domestic Shorthair,Mix color,Neutered Male,2982.0,Alive,8,2017,10,2017,8,2009,60.0,No,Healthy
A747563,Austin,Stray,Normal,Dog,Intact Male,731.0,Pit Bull Mix,Mix color,Neutered Male,748.0,Alive,4,2017,5,2017,4,2015,17.0,No,Healthy
A765093,Pflugerville,Stray,Normal,Dog,Neutered Male,1096.0,Labrador Retriever Mix,Black,Neutered Male,1112.0,Alive,1,2018,1,2018,1,2015,16.0,No,Healthy
A668605,Austin,Wildlife,Sick,Other,Unknown,365.0,Other,Other,Unknown,365.0,Death,12,2013,12,2013,12,2012,0.0,Unknown,Unhealthy
A740997,Austin,Stray,Normal,Dog,Intact Female,167.0,German Shepherd Mix,Mix color,Spayed Female,171.0,Alive,12,2016,12,2016,7,2016,4.0,No,Healthy
A809550,Austin,Owner Surrender,Normal,Cat,Intact Male,76.0,Other,Mix color,Neutered Male,82.0,Alive,11,2019,12,2019,9,2019,6.0,No,Healthy
A677468,Austin,Stray,Normal,Cat,Intact Female,31.0,Domestic Shorthair Mix,Tabby,Intact Female,33.0,Alive,4,2014,4,2014,3,2014,2.0,Yes,Healthy
A669494,Manor,Owner Surrender,Normal,Dog,Spayed Female,606.0,Labrador Retriever Mix,Mix color,Spayed Female,613.0,Alive,12,2013,12,2013,4,2012,7.0,No,Healthy
A797406,Austin,Stray,Normal,Dog,Intact Female,730.0,Other,Mix color,Intact Female,735.0,Alive,6,2019,6,2019,6,2017,5.0,Yes,Healthy
A801597,Pflugerville,Stray,Normal,Other,Spayed Female,92.0,Other,Other,Spayed Female,95.0,Alive,8,2019,8,2019,5,2019,3.0,No,Healthy
A772718,Austin,Stray,Normal,Cat,Intact Male,30.0,Domestic Shorthair Mix,Mix color,Neutered Male,87.0,Alive,5,2018,7,2018,4,2018,57.0,No,Healthy
A796433,Austin,Stray,Normal,Cat,Intact Male,22.0,Domestic Shorthair Mix,Mix color,Neutered Male,59.0,Alive,6,2019,7,2019,5,2019,37.0,No,Healthy
A781004,Austin,Owner Surrender,Normal,Cat,Intact Female,62.0,Domestic Shorthair Mix,Mix color,Spayed Female,65.0,Alive,9,2018,9,2018,7,2018,3.0,No,Healthy
A654090,Austin,Owner Surrender,Normal,Cat,Spayed Female,950.0,Domestic Shorthair Mix,Mix color,Spayed Female,959.0,Alive,12,2013,12,2013,5,2011,9.0,No,Healthy
A746091,Austin,Stray,Normal,Dog,Intact Female,365.0,Chihuahua Shorthair Mix,Tan,Intact Female,372.0,Alive,3,2017,4,2017,3,2016,7.0,Yes,Healthy
A705197,Austin,Stray,Normal,Cat,Intact Male,33.0,Domestic Shorthair Mix,Mix color,Neutered Male,67.0,Alive,6,2015,7,2015,5,2015,34.0,No,Healthy
A747805,Austin,Stray,Normal,Cat,Intact Female,14.0,Domestic Shorthair,Mix color,Spayed Female,123.0,Alive,4,2017,8,2017,4,2017,109.0,No,Healthy
A787644,Austin,Stray,Normal,Dog,Intact Female,118.0,Other,Mix color,Spayed Female,122.0,Alive,1,2019,1,2019,9,2018,4.0,No,Healthy
A726306,Austin,Stray,Normal,Cat,Intact Male,366.0,Domestic Medium Hair Mix,Tabby,Neutered Male,372.0,Alive,5,2016,5,2016,5,2015,6.0,No,Healthy
A812292,Austin,Stray,Normal,Dog,Intact Male,306.0,Other,Brindle,Neutered Male,311.0,Alive,1,2020,1,2020,3,2019,5.0,No,Healthy
A672474,Austin,Stray,Normal,Dog,Intact Male,2191.0,Chihuahua Shorthair Mix,Mix color,Neutered Male,2194.0,Alive,2,2014,2,2014,2,2008,3.0,No,Healthy
A434171,Austin,Stray,Injured,Dog,Spayed Female,3573.5499999999965,Other,Mix color,Spayed Female,3575.6999999999966,Alive,11,2019,11,2019,11,2005,2.150000000000091,No,Unhealthy
A786979,Austin,Owner Surrender,Normal,Cat,Spayed Female,1461.0,Domestic Shorthair Mix,Tabby,Spayed Female,1670.0,Alive,1,2019,8,2019,1,2015,209.0,No,Healthy
A742780,Travis,Stray,Normal,Dog,Intact Male,1096.0,Other,Mix color,Intact Male,1107.0,Alive,1,2017,2,2017,1,2014,11.0,Yes,Healthy
A717559,Austin,Stray,Normal,Cat,Intact Female,71.0,Domestic Shorthair Mix,Torbie,Spayed Female,78.0,Alive,12,2015,12,2015,9,2015,7.0,No,Healthy
A761359,Austin,Stray,Normal,Dog,Intact Female,92.0,Chihuahua Shorthair Mix,Tan,Spayed Female,96.0,Alive,11,2017,11,2017,8,2017,4.0,No,Healthy
A809939,Austin,Stray,Normal,Other,Intact Male,730.0,Other,Brown,Neutered Male,760.0,Alive,12,2019,1,2020,12,2017,30.0,No,Healthy
A711903,Austin,Stray,Normal,Cat,Intact Male,40.0,Domestic Shorthair Mix,Black,Intact Male,44.0,Alive,9,2015,9,2015,8,2015,4.0,Yes,Healthy
A789942,Austin,Owner Surrender,Normal,Cat,Intact Female,59.0,Domestic Shorthair Mix,Tabby,Spayed Female,63.0,Alive,3,2019,3,2019,1,2019,4.0,No,Healthy
A765847,Pflugerville,Owner Surrender,Normal,Dog,Intact Male,17.0,Labrador Retriever Mix,Tricolor,Neutered Male,66.0,Alive,1,2018,2,2018,12,2017,49.0,No,Healthy
A715686,Austin,Stray,Normal,Dog,Spayed Female,365.0,Other,Mix color,Spayed Female,367.0,Alive,11,2015,11,2015,11,2014,2.0,No,Healthy
A534548,Austin,Stray,Normal,Dog,Spayed Female,2462.0,Other,Mix color,Spayed Female,2472.0,Alive,4,2014,5,2014,8,2007,10.0,No,Healthy
A736382,Austin,Stray,Normal,Dog,Intact Male,243.0,Other,Mix color,Intact Male,255.0,Alive,10,2016,10,2016,2,2016,12.0,Yes,Healthy
A805042,Manor,Owner Surrender,Normal,Dog,Intact Male,42.0,Other,Mix color,Intact Male,48.0,Alive,9,2019,9,2019,8,2019,6.0,Yes,Healthy
A730919,Austin,Stray,Normal,Dog,Intact Male,274.0,Other,Mix color,Intact Male,274.0,Alive,7,2016,7,2016,10,2015,0.0,Yes,Healthy
A668905,Austin,Stray,Normal,Dog,Intact Female,731.0,Other,Mix color,Spayed Female,743.0,Alive,12,2013,12,2013,12,2011,12.0,No,Healthy
A809150,Austin,Stray,Normal,Cat,Unknown,365.0,Domestic Shorthair Mix,Tabby,Unknown,370.0,Alive,11,2019,11,2019,11,2018,5.0,Unknown,Healthy
A681340,Austin,Stray,Normal,Cat,Intact Male,14.0,Domestic Shorthair Mix,Mix color,Neutered Male,85.0,Alive,6,2014,8,2014,6,2014,71.0,No,Healthy
A751584,Austin,Stray,Normal,Cat,Intact Male,46.0,Domestic Shorthair Mix,Mix color,Intact Male,56.0,Alive,6,2017,6,2017,4,2017,10.0,Yes,Healthy
A735972,Austin,Stray,Normal,Dog,Neutered Male,450.0,Other,Mix color,Neutered Male,450.0,Alive,10,2016,10,2016,7,2015,0.0,No,Healthy
A799805,Austin,Public Assist,Normal,Dog,Intact Male,365.0,Other,Mix color,Neutered Male,376.0,Alive,7,2019,7,2019,7,2018,11.0,No,Healthy
A690386,Austin,Stray,Injured,Cat,Intact Male,122.0,Domestic Medium Hair Mix,Mix color,Intact Male,123.0,Death,10,2014,10,2014,6,2014,1.0,Yes,Unhealthy
A738032,Austin,Stray,Normal,Cat,Intact Male,61.0,Domestic Shorthair Mix,Other,Neutered Male,69.0,Alive,11,2016,11,2016,9,2016,8.0,No,Healthy
A740231,Austin,Stray,Normal,Cat,Intact Female,91.0,Domestic Shorthair Mix,Tortie,Spayed Female,95.0,Alive,12,2016,12,2016,9,2016,4.0,No,Healthy
A779667,Manor,Public Assist,Normal,Bird,Intact Female,365.0,Other,Brown,Intact Female,383.0,Alive,9,2018,9,2018,9,2017,18.0,Yes,Healthy
A674507,Austin,Owner Surrender,Normal,Dog,Neutered Male,730.0,Other,Mix color,Neutered Male,744.0,Alive,3,2014,3,2014,3,2012,14.0,No,Healthy
A681281,Austin,Stray,Normal,Cat,Intact Female,73.0,Domestic Shorthair Mix,Tabby,Spayed Female,100.0,Alive,6,2014,7,2014,4,2014,27.0,No,Healthy
A689351,Austin,Stray,Normal,Dog,Intact Male,730.0,Pit Bull Mix,Mix color,Neutered Male,742.0,Alive,10,2014,10,2014,10,2012,12.0,No,Healthy
